Hotel_Address,Review_Date,Average_Score,Hotel_Name,Reviewer_Nationality,Negative_Review,Total_Number_of_Reviews,Positive_Review,Reviewer_Score,Tags,lat,lng,Calc_Average_Score,Average_Score_Difference,Leisure_trip,Couple,Solo_traveler,Business_trip,Group,Family_with_young_children,Family_with_older_children,With_a_pet
"Paris, France",8/2/2017,8.3,Hotel Trianon Rive Gauche, United Kingdom , I can t find any faults ,218, This is the third time we stayed at this hotel It is simply great Perfect location and the staff is lovely Definitely recommend it to anyone who is visiting Paris This time I was traveling as family and they gave us a lovely family room on the 7th floor The view was absolutely superb ,10.0," Leisure trip, Family with young children, Triple Room, Stayed 4 nights ",48.8487675,2.3410376,8.3,-0.10000000000000142,1,0,0,0,0,1,0,0
"London, United Kingdom",7/19/2017,8.3,InterContinental London Park Lane, China , the shower curtains is too easy to leak to the bathroom floor even if you put it into the tube it still leak ,160, The room is very clean and the facility is very thoughtful,9.6," Leisure trip, Family with young children, 2 rooms, Stayed 2 nights ",51.5038632,-0.1504132,8.3,0.1999999999999993,1,0,0,0,0,1,0,0
"Paris, France",8/3/2017,7.0,Novotel Suites Paris Nord 18 me, United Kingdom , As I said the coffee maker didn t work Apart from that I loved it ,180, Perfect location for the Stade de France and Metro to centre of Paris Good bus links to Stade de France bus stop right outside hotel Pleasant walk back to hotel afterwards I loved the diverse nature of the area Coffee maker did not work apart from that the room was spacious clean and comfortable Better than I expected ,7.5," Leisure trip, Solo traveler, Superior Suite with 1 Double Bed and 1 Single Bed, Stayed 1 night ",48.9015941,2.3597783,7.0,0.40000000000000036,1,0,1,0,0,0,0,0
"London, United Kingdom",8/3/2017,7.6,Grand Royale London Hyde Park, Australia , Room to small which was difficult to navigate with 2 large suitcases Our room wasn t made up till about 4 30 in the afternoon even though we had been out for at least four hours earlier in the day ,2958, Close to Kensington Palace which is the reason I stayed there Georgeous lobby and sitting room full of history Helpful staff ,7.1," Leisure trip, Couple, Superior Double Room, Stayed 2 nights, Submitted from a mobile device ",51.5109945,-0.1863417,7.6,0.10000000000000053,1,1,0,0,0,0,0,0
"London, United Kingdom",8/2/2017,9.6,Milestone Hotel Kensington, Australia , Nothing that I can think of ,86, Brilliant A wonderful property with excellent staff Nothing is too much trouble Incredible attention to detail regarding my preferences from previous stays VERY expensive but worth it for a really indulgent stay ,10.0," Leisure trip, Solo traveler, Superior Queen Room, Stayed 2 nights ",51.5020425,-0.1866541,9.6,-0.09999999999999964,1,0,1,0,0,0,0,0
"London, United Kingdom",8/2/2017,8.0,Crowne Plaza London Kings Cross, United Kingdom , We were there on Friday night came back to the hotel at about 9pm thinking we would like a quiet drink But there was very loud so called jazz being played in the only sitting area There was another bar area but we were told we could not use it so the only place was our room for such a large hotel there really should be somewhere to sit in comfort ,1007,No Positive,5.8," Leisure trip, Couple, Double Room with Sofa Bed Non Smoking, Stayed 1 night, Submitted from a mobile device ",51.5263854,-0.1136042,8.0,0.09999999999999964,1,1,0,0,0,0,0,0
"Paris, France",8/1/2017,9.0,Select Hotel, United Kingdom , The room we were upgraded to featured a double bed made of two singles which kept moving apart ,256, We were upgraded on arrival which was lovely Shower and bathroom facilities were excellent Staff were always helpful and welcoming they spoke English and were more than happy to answer any questions we might have Location was perfect courtyard had lovely places to dine or get a cocktail 5 mins walk from the metro and not far from Notre Damme or the Pantheon Lovely area for dining ,9.6," Leisure trip, Couple, Small Double Room, Stayed 4 nights, Submitted from a mobile device ",48.8483053,2.3425596,9.0,-0.09999999999999964,1,1,0,0,0,0,0,0
"Paris, France",7/15/2017,8.4,H tel De Vend me, Saudi Arabia , All the staff showed great help except the old reception man in the morning shift 14 july 2017 he was not cooperative at all and he ruined my morning I hope the manger will do something to improve his attitude ,89, The location was great and active room was clean and comfort If u will stay in this hotel u will find alot of coffee shops and alot of Resturants around u by walking only ,8.8," Leisure trip, Couple, Deluxe Double Room, Stayed 4 nights, Submitted from a mobile device ",48.8668564,2.3286339,8.4,0.29999999999999893,1,1,0,0,0,0,0,0
"Paris, France",8/3/2017,8.8,Pullman Paris Centre Bercy, United Kingdom , Fairly bland business hotel but excellent value and location ,224, Excellent location close to both the gares de Lyon and Bercy and the lovely Bercy Park and the Bercy village with plenty of lively restaurants and bars Very good breakfast Helpful staff ,9.6," Leisure trip, Couple, Classique Double Room, Stayed 1 night ",48.8315204,2.3870797,8.8,-0.10000000000000142,1,1,0,0,0,0,0,0
"Paris, France",8/3/2017,8.1,Gardette Park Hotel, Vietnam , The room is so small It is not like in the picture However we are used with rooms in Paris The elevator stops at the middle of 2 floors so you have to walk up or down to access your room It is quite strange with us ,179, This hotel is a boutique hotel so everything look old but it works as normal The location is very nice easy go to Louvre Museum Many restaurants nearby and you can find some local coffee shop in the morning The staff is really helpful and friendly,9.6," Leisure trip, Group, 3 rooms, Stayed 3 nights ",48.8610265,2.3788974,8.1,0.09999999999999964,1,0,0,0,1,0,0,0
"Paris, France",8/2/2017,8.5,Hotel Panache, Brazil , You can hear people from other rooms loud and clear I couldn t sleep after 7am after the other guests woke up The first guy on the reception was rude and unhelpful ,82, Location Good view Clean room and clean bathroom Air conditioner ,6.3," Leisure trip, Family with young children, Classic Double or Twin Room, Stayed 3 nights ",48.8732543,2.343239,8.5,0.09999999999999964,1,0,0,0,0,1,0,0
"Paris, France",7/22/2017,7.8,H tel des Ducs D Anjou, Australia , First room air conditioning didn t work internet was dreadful last straw was no hot water in the morning for a shower so left a night early For the money was not expecting the Ritz but could be better,108, Good location and quiet room,5.4," Leisure trip, Solo traveler, Standard Single Room, Stayed 5 nights, Submitted from a mobile device ",48.8598229,2.347111,7.8,-0.09999999999999964,1,0,1,0,0,0,0,0
"Paris, France",7/29/2017,8.8,Hotel Scribe Paris Opera by Sofitel, United Kingdom , Our hotel room was a little small The bath had high sides and was difficult and dangerous to climb in and out for showering Definitely a no go for anyone with mobility issues The separate WC was tiny and a squeeze to get into and close the door A wall telephone was place at hip height so often knocked on in error We didn t receive nightly turn down as expected and raised this with the hotel ,135, Staff were helpful and friendly The location was excellent for getting around Paris on foot or by Taxi ,8.8," Leisure trip, Couple, Superior Double Room with Spa Access, Stayed 3 nights ",48.8704175,2.3296832,8.8,-0.20000000000000107,1,1,0,0,0,0,0,0
"London, United Kingdom",8/2/2017,8.2,Novotel London West, United Kingdom , Room is so stingy Staff s not polite except the taiwanese girl at reception she is helpful Conversation with a male staff at reception on phone after checked in Me hi can i have 2 sets of tooth brushes please Staff sorry it s 10pm now and the housekeeping is closed Me huh Closed I thought hotels provide 24hour service Staff where did you read that we provide 24 hours service Me Me i need two toothbrushes it s just basic request I know it s 10pm but i just checked in Staff yea but we are closed it s 10pm Me ,1283,No Positive,3.8," Leisure trip, Family with young children, Superior Room with 2 Single Beds, Stayed 1 night, Submitted from a mobile device ",51.4919588,-0.2200956,8.2,0.10000000000000142,1,0,0,0,0,1,0,0
"London, United Kingdom",7/4/2017,9.6,Haymarket Hotel, Australia , nothing,121, The staff were excellent the location is spot on in theatre district the rooms were lovely the air con died in the unusually hot day in London so they moved us to another room and offered refreshments as compensation The best We will return hopefully ,10.0," Leisure trip, Family with young children, Superior Room, Stayed 2 nights ",51.5084595,-0.1311382,9.6,0.0,1,0,0,0,0,1,0,0
"London, United Kingdom",8/3/2017,9.5,Intercontinental London The O2, United Kingdom , Being over charged and them telling me I wasn t telling the truth then rang my bank and they said 2 different payments have been taken out one for the room rate 225 and then an extra 325 Then suddenly they said it s come up on there system saying they charged me twice And all they could off what 25 of what a joke Very disappointed,2551,No Positive,5.8," Leisure trip, Couple, Superior King Room, Stayed 1 night, Submitted from a mobile device ",51.5024348,-0.0002497,9.5,-0.09999999999999964,1,1,0,0,0,0,0,0
"Paris, France",8/3/2017,8.6,H tel Juliana Paris, Ireland ,No Negative,169, My husband and I were traveling as a part of our honeymoon and the room was provided with bottle of wine chocolates and more thank you very much for all your hospitality ,10.0," Leisure trip, Couple, Comfort Double Room, Stayed 3 nights, Submitted from a mobile device ",48.8619373,2.3040298,8.6,0.0,1,1,0,0,0,0,0,0
"Paris, France",7/6/2017,9.1,Hotel L Antoine, Ireland , Unusual not to have restaurant except for breakfast Not a problem really as they do provide free coffee treats in foyer area 2 6 pm Also will order in for you if you want But seriously no need as the minute you step outside there are lots and lots of eateries ,171, Location was excellent as were decor staff and atmosphere Lots of shops and restaurants nearby Robes and slippers a lovely extra luxury ,9.6," Leisure trip, Family with young children, Junior Suite, Stayed 3 nights, Submitted from a mobile device ",48.8524215,2.3743832,9.1,-0.1999999999999993,1,0,0,0,0,1,0,0
"Paris, France",7/27/2017,7.8,Belfast, Oman ,No Negative,86, Everything at this hotel is very good metro is near a halal restaurant is opposite to the hotel but more quality at rooms is needed the big cabinets could be removed as they take a good place at the room and we didn t use them at all,9.6," Leisure trip, Family with young children, 2 rooms, Stayed 3 nights, Submitted from a mobile device ",48.8756435,2.2938788,7.8,-0.09999999999999964,1,0,0,0,0,1,0,0
"Paris, France",7/31/2017,9.1,Shangri La Hotel Paris, Ukraine ,No Negative,46, Very nice restaurant All rooms are different even in the same category I did not like the room that was offered and staff proposed me to change for another one free of charge ,9.2," Leisure trip, Couple, Deluxe Double or Twin Room, Stayed 3 nights ",48.8637135,2.2934759,9.1,0.20000000000000107,1,1,0,0,0,0,0,0
"Paris, France",6/8/2017,7.5,Mercure Paris Tour Eiffel Pont Mirabeau, United States of America , The breakfast area was too small with not enough seats and tables to accommodate guests On Sunday breakfast was absolute chaos There were no coffee cups the kuerig machines weren t working there were no eggs or sausage or seats or milk or silverware and one poor staff person trying to do it all We wouldn t come back to this hotel because they are not prepared to serve breakfast to their guests ,70,No Positive,7.5," Leisure trip, Couple, Privilege Room with 1 Double Bed, Stayed 3 nights, Submitted from a mobile device ",48.8460269,2.2788281,7.5,0.5,1,1,0,0,0,0,0,0
"London, United Kingdom",9/16/2015,9.1,Knightsbridge Hotel, United States of America ,No Negative,173, Staff were friendly courteous helpful in every respect I did not have the proper charger for my I Phone and the staff provided me with one ,10.0," Leisure trip, Couple, Superior Room, Stayed 1 night ",51.4980052,-0.1643238,9.1,0.0,1,1,0,0,0,0,0,0
"London, United Kingdom",6/28/2017,9.1,The London EDITION, United States of America , The rooms were lacking plugs to charge our phones and iPads ,141, Room was large as well as bathroom and decent location The hotel was obvious a going place as the lobby which had a bar and pool table were full of young people having a wonderful time The staff from the front desk to the doormen were friendly and helpful ,9.6," Leisure trip, Group, Standard Room, Stayed 2 nights, Submitted from a mobile device ",51.5167472,-0.135965,9.1,0.0,1,0,0,0,1,0,0,0
"London, United Kingdom",8/2/2017,7.7,The Cranley Hotel, Italy , The service and staff are very low the room Was dirty staines all over the curtains terrace with dirty pillows and wet kitchen smell all day long coming inside the room ,160,No Positive,5.0," Leisure trip, Couple, Junior Suite 2 Adults 1 Child, Stayed 2 nights, Submitted from a mobile device ",51.4916378,-0.1832833,7.7,0.09999999999999964,1,1,0,0,0,0,0,0
"Paris, France",7/8/2017,9.3,Hotel Le 10 BIS, United Kingdom , Nothing,49, The staff were extremely pleasant and efficient The d cor of the hotel was dark which really should not have worked but in reality the effect was fabulous ,10.0," Leisure trip, Couple, Deluxe Double Room, Stayed 2 nights ",48.8780363,2.2864907,9.3,-0.10000000000000142,1,1,0,0,0,0,0,0
"London, United Kingdom",8/2/2017,9.2,The Nadler Soho, Canada , Hotels in London are extremely expensive compared to other places I have visited Nadler is no different and I know this is not their fault but I would go back to London more often if it wasn t for the cost,491,No Positive,9.6," Leisure trip, Family with young children, Nadler Deluxe Double Room, Stayed 1 night, Submitted from a mobile device ",51.5147387,-0.1341108,9.2,-0.1999999999999993,1,0,0,0,0,1,0,0
"London, United Kingdom",8/2/2017,8.5,Grange St Paul s Hotel, United Kingdom , The first room we were put in superior was lovely and had separate shower and bath unfortunately there were noisy children running around above us and I asked to be moved The second room appeared smaller and without separate shower which was disappointing Please note that the first room s shower drain I think it was 406 smelt terrible and we were able to detect the odour as soon as the door to the room was open and it was even worse when we went into the bathroom The drain needs changing or at least a professional clean Both rooms showed wear and tear We didn t dine in the hotel as there was so much choice elsewhere however if the prices had been more competitive then I think we would have done ,1154, We noticed there was a bed topper and this was really appreciated and made a difference thank you The toiletries supplied were lovely as were the slippers and bathrobes Free wifi fantastic Tea and coffee supplies were great too The spa and gym facilities were the reason we booked the hotel and were very good but it would have been better without children having so much access time The locality of the hotel was a bonus and near the St Paul s underground and 5 mins walk from Barts Hospital which is why we were there in the first place We felt safe walking around in the evening and took a sneaky peak at St Paul s from the 7th Floor of the hotel really great view ,7.1," Couple, Superior Double Room, Stayed 2 nights ",51.5127625,-0.0997157,8.5,0.0,0,1,0,0,0,0,0,0
"London, United Kingdom",7/20/2017,9.2,The Ampersand Hotel, Singapore , The cupboard length was too short for clothes to be hung ,382, The attention to detail paid to the furnishing decorations and accessories The lovely drawing room The location is excellent ,9.6," Leisure trip, Solo traveler, Small Double Room, Stayed 1 night ",51.4943077,-0.1755579,9.2,-0.09999999999999964,1,0,1,0,0,0,0,0
"London, United Kingdom",7/8/2017,9.6,Covent Garden Hotel, New Zealand , There is nothing not to like about this place ,74, Lovely lounge and bar to escape the city for some relax time if needed Also best coffee in London just over the road from the hotel ,9.6," Leisure trip, Couple, Deluxe Junior Suite, Stayed 3 nights, Submitted from a mobile device ",51.5145986,-0.1270336,9.6,-0.1999999999999993,1,1,0,0,0,0,0,0
"London, United Kingdom",8/3/2017,9.3,The Nadler Victoria, United States of America , The rooms are just a tad small the only downgrade I could find But really it s an older building probably 19th century that s been upgraded and modernized nicely ,601, Staff was 1st rate The young woman Carmen with the most enchanting eyes I might add was especially friendly and helpful ,9.6," Leisure trip, Couple, Standard Double Room, Stayed 3 nights ",51.4990259,-0.1427453,9.3,0.0,1,1,0,0,0,0,0,0
"London, United Kingdom",7/25/2017,8.7,Novotel London Tower Bridge, Poland , Hotel blocked GBP50 on my card on top of the full price for room without any notification or information in booking com system which I find breaching booking com rules The amount was released 2 days after check out which meant that during my London trip I couldn t spend part of my money Receptionist manager in the hotel couldn t find any immediate solution to that and behaved as it hadn t been any issue Is not about GBP50 but I may simply imagine that the hotel might have blocked GBP500 for same security reasons and in such condition I would be deprived of any money I had converted earlier to my GBP account before weekend trip It s just can t be trusted ,389,No Positive,4.6," Leisure trip, Family with young children, Superior Room with Queen Bed and Sofa, Stayed 1 night ",51.5106538,-0.0773676,8.7,-0.09999999999999964,1,0,0,0,0,1,0,0
"Paris, France",7/31/2017,8.0,Crowne Plaza Paris R publique, United States of America , The air conditioning fan was a bit loud ,212, The location was great it was very convenient to walk to restaurants it was at the major metro stop and easy to walk to different areas for shopping ,7.5," Solo traveler, Standard Room, Stayed 4 nights ",48.8673199,2.3656296,8.0,0.0,0,0,1,0,0,0,0,0
"Paris, France",4/17/2017,8.3,Le Metropolitan a Tribute Portfolio Hotel, United Kingdom , We ordered room service twice and each time the phone cut out We waited 45 minutes and nothing happened Eventually we went downstairs to be told the restaurant tried to call us but got no answer It would have been nice for someone to come to our door maybe and check what was going on ,66, We stayed in a suite and the room set up was really cool It was a lovely relaxing break and a 15 minute walk from Eiffel Tower ,8.3," Leisure trip, Couple, Junior Suite with Pool Access, Stayed 2 nights, Submitted from a mobile device ",48.8656973,2.2829776,8.3,0.0,1,1,0,0,0,0,0,0
"Paris, France",7/22/2017,7.9,Atala Champs Elys es, Singapore , First when I arrived at hotel with 3 big luggage n 2 small luggage no one stand up at reception to offer u any helps No service for my whole stay my phone in the room was not working n I have to go down n tell the staff n yet nothing happen When I go down again on the next morning staff told me she thought was done but no one even visited my room Until I check out also no one check on it Room sofa is all so old n oily ,29, Location,4.2," Leisure trip, Group, Superior Double or Twin Room, Stayed 1 night, Submitted from a mobile device ",48.8735418,2.302442,7.9,0.29999999999999893,1,0,0,0,1,0,0,0
"Paris, France",8/3/2017,9.2,H tel de Jos phine BONAPARTE, Australia , Rooms very small and dark and quite noisy in the evenings when trying to sleep bring earplugs ,76, Great location very central Staff friendly particularly the female staff members ,7.1," Leisure trip, Solo traveler, Single Room, Stayed 6 nights ",48.8555319,2.3621212,9.2,-0.1999999999999993,1,0,1,0,0,0,0,0
"Paris, France",7/14/2017,9.3,Maison Souquet, United Kingdom ,No Negative,91, The hotel is fantastic in design I love the curtains the wall and every other decorations They are all exquisite and exotic for me Also the hotel is near to the Eurostar station 15 mins car so it is convenient to move luggages There are lots of nice restaurants near the hotel with a wide range of food types to choose from Most importantly the hotel staff cleans the room frequently so I give a definite five star for the cleaness of the room ,9.6," Leisure trip, Couple, Deluxe Double Room with Private Access to Pool and Spa, Stayed 2 nights ",48.88366,2.3313845,9.3,0.0,1,1,0,0,0,0,0,0
"Paris, France",6/19/2017,8.5,Hotel Tour d Auvergne Opera, United Kingdom , Had a mixed experience with the staff first day excellent helpful and friendly second day at checkout I was charged twice because the guy was convinced that I did not pay That was rather frustrating but later his colleague sent me an email to say that the refund was arranged so this speaks in their favour despite the negative experience After reading other comments related to the room size I decided to book a double room still there was barely any space for my carry on suitcase I don t think a double room would fit two people ,25, Great location within a walking distance from La Gare du Nord and many other attractions cafes and restaurants an enjoyable atmosphere on a sunny day My room was very comfortable ,8.3," Business trip, Solo traveler, Club Double or Twin Room, Stayed 1 night ",48.8789432,2.3448623,8.5,-0.1999999999999993,0,0,1,1,0,0,0,0
"Paris, France",6/24/2017,8.3,Le Senat, United States of America ,No Negative,120, Friendly staff Very clean rooms Tasty breakfast Excellent location Close to several different Metro line stations Train from CDG goes straight to Luxembourg station then 10 min walk to hotel Just one block from Luxembourg Palace ,9.6," Leisure trip, Couple, Superior Room, Stayed 2 nights, Submitted from a mobile device ",48.8491427,2.3397118,8.3,0.0,1,1,0,0,0,0,0,0
"Paris, France",7/14/2017,8.1,Windsor Opera, United States of America , Not applicable,34, All the people that work there are excellent We went to Versailles upon Checkout They guarded my luggage and took great care of us Trilingual staff French English and Spanish Gregg during the day and the night shift desk man were PHENOMENAL 10 stars ,10.0," Leisure trip, Group, Superior Room, Stayed 3 nights, Submitted from a mobile device ",48.8734851,2.3485111,8.1,0.20000000000000107,1,0,0,0,1,0,0,0
"Paris, France",8/3/2017,6.3,Holiday Inn Paris Montparnasse Pasteur, United Kingdom , The hotel needs an upgrade as bathroom was very dated and not clean Beds are very uncomfortable and the sofa bed is just terrible All theee of us had backache after only one night sleep there 4star for this hotel is definitely overrating Definitely not worth the money paid ,37, Staff were very pleasant to deal with ,4.6," Leisure trip, Family with young children, Superior Triple Room, Stayed 1 night, Submitted from a mobile device ",48.8376887,2.3063102,6.3,0.7999999999999998,1,0,0,0,0,1,0,0
"Paris, France",5/30/2017,9.3,H tel Keppler, France , Although we had an executive room it was a bit small particularly the bathroom When we checked out the hotel challenged whether our breakfast was included although I produced the paperwork to prove it Eventually the hotel agreed and said they would take this up with you ,95, The hotel decor is beautiful and of the highest quality The staff are very helpful and friendly and breakfast was one of the best we have had Excellent restaurants nearby ,9.6," Leisure trip, Couple, Executive Room, Stayed 3 nights ",48.8699103,2.2973386,9.3,-0.20000000000000107,1,1,0,0,0,0,0,0
"Paris, France",8/2/2017,8.7,Les Plumes Hotel, Bahrain , Absolutely nothing ,113, 1 The room was well decorated modern small as per Parisian standards however cozy 2 The shower was amazing and had great LED lights to enjoy your long nice shower 3 The room offered a free Samsung phone to make free local and international calls to certain destinations along with free data 4 Staff were great and polite and extremely helpful They were always ready to assist and guide us before we stepped out 5 Great location 3 mins walking distance from Cadet Metro Pink Line which runs through the city various restaurants and cafes Located in 9th arrondissement safe neighbourhood ,9.6," Leisure trip, Couple, Double or Twin Room, Stayed 7 nights ",48.8766269,2.3432886,8.7,0.10000000000000142,1,1,0,0,0,0,0,0
"Paris, France",7/31/2017,8.2,Hotel des Tuileries Relais du Silence, Switzerland , the hotel itself seems a little old I stayed there a few years ago and loved it they could do with a little renovation of the furniture which was bad and old specially at the entrance of the hotel reception looks old and not very practical ,91, prefect location quiet excellent if you dont want the noice of the city plenty of nice restaurants,7.5," Leisure trip, Family with young children, Cosy Room, Stayed 1 night ",48.8661705,2.331561,8.2,-0.09999999999999964,1,0,0,0,0,1,0,0
"Paris, France",6/23/2017,9.1,Bradford Elys es Astotel, United States of America ,No Negative,82, Staff and accomodations were great Precious boutique hotel in a charming area lots of cafes and shops in walking distance Will definitely book again ,10.0," Leisure trip, Couple, Privilege Double Room, Stayed 3 nights ",48.8729676,2.3081178,9.1,0.0,1,1,0,0,0,0,0,0
"London, United Kingdom",8/2/2017,8.3,W London Leicester Square, Spain , Would have preferred to have been told there was renovation being done in the bar lounge area,267, location excellent staff superb felt so welcome the manager Billy listened to a problem I had and came up with an excellent solution instantly Thanks ,9.2," Leisure trip, Group, Wonderful Room, Stayed 6 nights ",51.510843,-0.1314287,8.3,0.09999999999999964,1,0,0,0,1,0,0,0
"London, United Kingdom",8/2/2017,8.3,The Victoria, United States of America , Nothing,162, Such a great energy and atmosphere here The staff were awesome and the food was tremendous Ask for recommendations the staff knows the food well,10.0," Leisure trip, Couple, Double Room, Stayed 1 night, Submitted from a mobile device ",51.4611219,-0.2756216,8.3,0.0,1,1,0,0,0,0,0,0
"London, United Kingdom",8/2/2017,8.9,Pullman London St Pancras, United Kingdom , The whole refit in rooms used to usethis hotel often but didn t like the whole decor theam like it before minimal style some my like it not for me,1242, Very close to eurostar train,7.5," Leisure trip, Solo traveler, Classic Twin Room, Stayed 1 night, Submitted from a mobile device ",51.5286766,-0.1283489,8.9,0.0,1,0,1,0,0,0,0,0
"London, United Kingdom",8/2/2017,8.6,Crowne Plaza London Kensington, United Kingdom ,No Negative,305, It was my partners 60th birthday and the hotel staff were amazing Receptionist were lovely They left a card cake and a bottle of wine The room was lovely at the back overlooking the garden The little things do make a big difference and it made his weekend Thank you we come to London a lot and we will be back ,10.0," Leisure trip, Couple, Standard Double Room, Stayed 3 nights, Submitted from a mobile device ",51.495179,-0.183827,8.6,0.09999999999999964,1,1,0,0,0,0,0,0
